Deletions-1610_A11_s1.TIF	0	103	193	281	370	460	550	641	
Deletions-1610_A11_s20.TIF	0	103	193	281	370	461	551	642	
Deletions-1610_A11_s21.TIF	0	103	193	281	370	461	551	642	
Deletions-1610_A11_s22.TIF	0	103	193	281	370	461	551	642	
Deletions-1610_A11_s23.TIF	0	103	194	281	370	461	551	642	
Deletions-1610_A11_s24.TIF	0	103	194	281	370	461	551	642	
Deletions-1610_A11_s25.TIF	0	103	194	282	370	461	551	642	
Deletions-1610_A11_s26.TIF	0	103	194	282	370	461	551	642	
Deletions-1610_A11_s2.TIF	0	103	193	281	370	460	550	641	
Deletions-1610_A11_s3.TIF	0	103	193	281	370	460	550	641	
Deletions-1610_A11_s4.TIF	0	103	193	281	370	460	550	641	
Deletions-1610_A11_s5.TIF	0	103	193	281	370	460	551	641	
Deletions-1610_A11_s6.TIF	0	103	193	281	370	460	551	641	
Deletions-1610_A11_s7.TIF	0	103	193	281	370	461	551	641	
Deletions-1610_A11_s8.TIF	0	103	193	281	370	461	551	641	
Deletions-1610_A11_s9.TIF	0	103	193	281	370	461	551	641	
Deletions-1610_A12_s10.TIF	0	106	197	284	373	464	554	644	
Deletions-1610_A12_s11.TIF	0	106	197	284	373	464	554	644	
Deletions-1610_A12_s12.TIF	0	106	197	284	373	464	554	644	
Deletions-1610_A12_s13.TIF	0	106	197	284	373	464	554	644	
Deletions-1610_A12_s14.TIF	0	106	197	284	373	464	554	645	
Deletions-1610_A12_s15.TIF	0	106	197	284	373	464	554	645	
Deletions-1610_A12_s16.TIF	0	106	197	284	373	464	554	645	
Deletions-1610_A12_s17.TIF	0	106	197	284	373	464	554	645	
Deletions-1610_A12_s18.TIF	0	106	197	284	373	464	554	645	
Deletions-1610_A12_s19.TIF	0	106	197	285	373	464	554	645	
Deletions-1610_A12_s1.TIF	0	106	196	284	373	463	553	644	
Deletions-1610_A12_s20.TIF	0	106	197	285	373	464	554	645	
Deletions-1610_A12_s21.TIF	0	106	196	284	372	463	553	644	
Deletions-1610_A12_s22.TIF	0	106	196	284	372	463	553	644	
Deletions-1610_A12_s23.TIF	0	106	196	284	372	463	553	644	
Deletions-1610_A12_s24.TIF	0	106	196	284	372	463	553	644	
Deletions-1610_A12_s25.TIF	0	106	196	284	372	463	553	644	
Deletions-1610_A12_s26.TIF	0	796	902	992	1080	1168	1259	1349	
Deletions-1610_A12_s2.TIF	0	106	196	284	373	463	554	644	
Deletions-1610_A12_s3.TIF	0	106	196	284	373	463	554	644	
Deletions-1610_A12_s4.TIF	0	106	196	284	373	463	554	644	
Deletions-1610_A12_s5.TIF	0	106	196	284	373	464	554	644	
Deletions-1610_A12_s6.TIF	0	106	196	284	373	464	554	644	
Deletions-1610_A12_s7.TIF	0	106	196	284	373	464	554	644	
Deletions-1610_A12_s8.TIF	0	106	196	284	373	464	554	644	
Deletions-1610_A12_s9.TIF	0	106	196	284	373	464	554	644	
Deletions-1610_B01_s10.TIF	0	90	180	270	360	450	540	630	
Deletions-1610_B01_s11.TIF	0	90	180	270	360	450	540	630	
Deletions-1610_B01_s12.TIF	0	90	180	270	360	450	540	630	
Deletions-1610_B01_s13.TIF	0	90	180	270	360	450	540	630	
Deletions-1610_B01_s14.TIF	0	90	180	270	360	450	540	630	
Deletions-1610_B01_s15.TIF	0	90	180	270	360	450	540	630	
Deletions-1610_B01_s16.TIF	0	90	180	270	360	450	540	630	
Deletions-1610_B01_s17.TIF	0	90	180	270	360	450	540	630	
Deletions-1610_B01_s18.TIF	0	91	181	270	360	450	540	630	
Deletions-1610_B01_s19.TIF	0	91	181	271	361	450	541	631	
Deletions-1610_B01_s1.TIF	0	90	180	270	360	450	540	630	
Deletions-1610_B01_s20.TIF	0	91	181	271	361	451	541	631	
